distance matrix	population:	AFR___GWD	AFR___ACB	AFR___GWD	AFR___LWK	SAS___BEB	AFR___ACB	AMR___PUR	EAS___CDX	EAS___KHV	EAS___CHS
NEW__ENSG00000175426___PCSK1__dist_max___BOOT55	0.9973186754256594	0.9642144823380072	1.0161828923709206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT56	1.00009278048138	0.9677607113985428	1.0178534783500905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT57	1.001314435263327	0.9725320247275484	1.0231065268537403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT58	1.0119928759772385	0.9747630610166813	1.0422470463844051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT59	1.017836835880639	0.9690391020106064	1.0574498459688912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT60	1.0253785103443636	0.9645295587010807	1.0753737633645337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT61	1.012607490817919	0.9591508140020264	1.057468590041878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT62	1.0275448615584475	0.9732972591459815	1.0732851056529304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT63	1.036981176320108	0.9867124124095006	1.0814975186627471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT64	1.039387388899964	0.9762341596620714	1.0909493740999203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT65	1.035781986849376	0.9819843892834527	1.0843939476702877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT66	1.0303388615107625	0.9719399697094849	1.0784026255262464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT67	1.0304773880675513	0.9647772840576558	1.0895973377703805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT68	1.0309454936766331	0.979574445420893	1.073239805952535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NEW__ENSG00000175426___PCSK1__dist_max___BOOT69	1.020553740226396	0.9640549855197795	1.0676452725839571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
